Ugurcan Cakir 78
Mert Gunok 75 goalkeeper
Muhammed Sengezer 68 goalkeeper
Merih Demir 83 goalkeeper
Ozan Kabak 75 goalkeeper
Abdulkerim Bardakci 83 defender
Kaan Ayhan 72 defender
Samet Akaydin 70 defender
Cenk Ozkacar 72 defender
Zeki Celik 76 defender
Mert Muldur 72 defender
Hakan Calhanoglu 90 midfielder
Salih Ozcan 78 midfielder
Ismail Yuksek 80 midfielder
Orkun Kokcu 82 midfielder
Arda Guler 89 midfielder
Can Uzun 63 midfielder
Yusuf Yazici 73 midfielder
Abdulkadir Omur 73 midfielder
Kerem Akturkoglu 81 attacker
Oguz Aydin 65 attacker
Baris Yilmaz 72 attacker
Irfan Kahveci 75 attacker
Yunus Akgun 72 attacker
Kenan Yildiz 70 attacker
Enes Unal 82 attacker
